iter	Logloss
0	0.5864751565
1	0.5112553139
2	0.4577358557
3	0.4165118617
4	0.3870830708
5	0.3605665076
6	0.3401213148
7	0.3242354391
8	0.3038427151
9	0.2931776682
10	0.2831182623
11	0.2744756947
12	0.2638183984
13	0.2486396143
14	0.2403387632
15	0.2328574879
16	0.2278843318
17	0.2229755611
18	0.2191206583
19	0.2143239744
20	0.2108211165
21	0.2064884462
22	0.203681189
23	0.1996333225
24	0.1924293352
25	0.1893123081
26	0.1867355095
27	0.1847613054
28	0.1812658188
29	0.1790581796
30	0.1764176028
31	0.1741876875
32	0.1668960745
33	0.1646331638
34	0.1627669843
35	0.1610497923
36	0.1595913949
37	0.1578839492
38	0.1557495025
39	0.1542792477
40	0.1530754619
41	0.1518336521
42	0.1503191971
43	0.1492141397
44	0.1480039432
45	0.146898349
46	0.1458630778
47	0.1447218573
48	0.1437508966
49	0.1427811789
50	0.1414509127
51	0.1395881994
52	0.1388993922
53	0.1379676113
54	0.1372307188
55	0.1365063421
56	0.1354062004
57	0.134542475
58	0.1337838767
59	0.133193854
60	0.1325392922
61	0.1318051699
62	0.1312900555
63	0.1306374542
64	0.1299905015
65	0.129550467
66	0.128847466
67	0.128069061
68	0.1274865665
69	0.126972596
70	0.1260092096
71	0.1254952206
72	0.1250285281
73	0.1246683648
74	0.1239300519
75	0.1219323499
76	0.1214478123
77	0.1207977488
78	0.1200285073
79	0.1195787041
80	0.1191600254
81	0.1187108847
82	0.1172632147
83	0.1168053393
84	0.1164098212
85	0.1159306169
86	0.115561312
87	0.1139728282
88	0.1136197501
89	0.1132417486
90	0.1129110808
91	0.1125144236
92	0.1121435315
93	0.1118072498
94	0.1113548298
95	0.1110693272
96	0.110702494
97	0.1104076367
98	0.1100982262
99	0.1097797177
100	0.1094344083
101	0.1091396535
102	0.1088424327
103	0.1086198072
104	0.108304958
105	0.1079735175
106	0.1076541503
107	0.1074385833
108	0.1071845079
109	0.1069662552
110	0.1067041407
111	0.106463789
112	0.1062296036
113	0.1058512691
114	0.1055935581
115	0.105305581
116	0.1050877334
117	0.1048483916
118	0.1042481191
119	0.1040336167
120	0.1038389553
121	0.1036498406
122	0.1034001938
123	0.1031684614
124	0.1027460425
125	0.1025197872
126	0.1023119174
127	0.1020918305
128	0.1019273757
129	0.101721531
130	0.1015122142
131	0.1012729045
132	0.1010870523
133	0.1009138709
134	0.1002433306
135	0.1000995986
136	0.09990455687
137	0.09908466363
138	0.09895400857
139	0.09881930507
140	0.09865391303
141	0.09841229768
142	0.09828859145
143	0.09815987168
144	0.09799899904
145	0.09784807784
146	0.09772269654
147	0.09758956636
148	0.09745954252
149	0.09724497507
150	0.09708124993
151	0.09696036211
152	0.09678202708
153	0.09667099514
154	0.09653700891
155	0.09640862997
156	0.09628707725
157	0.09617092383
158	0.09608062142
159	0.09591892022
160	0.0957532715
161	0.0956277404
162	0.09551367183
163	0.09540193116
164	0.09531861235
165	0.095010879
166	0.09489422825
167	0.09476193663
168	0.09415922935
169	0.09401446532
170	0.09390061735
171	0.09379634358
172	0.09369017431
173	0.09359129475
174	0.09349441948
175	0.09339722557
176	0.09327096694
177	0.09316751171
178	0.09303333897
179	0.09293539519
180	0.09284973831
181	0.09271074901
182	0.09253258127
183	0.09242442655
184	0.09233556293
185	0.09222583862
186	0.09211844888
187	0.09199384881
188	0.09187180438
189	0.0918030087
190	0.09173188086
191	0.0916405401
192	0.09154489615
193	0.09145022355
194	0.09133000444
195	0.09123172723
196	0.09111424562
197	0.0910082453
198	0.09090539006
199	0.09080995931
200	0.09056313689
201	0.09047351585
202	0.09040816166
203	0.09030195042
204	0.09022075391
205	0.09011711387
206	0.09004126959
207	0.08996269969
208	0.08987722269
209	0.08964001079
210	0.08953910096
211	0.08944336599
212	0.08933137722
213	0.08926170255
214	0.08918622434
215	0.08910901176
216	0.0887526909
217	0.08866340176
218	0.08858346513
219	0.08849131066
220	0.08843715784
221	0.08833607407
222	0.08825007264
223	0.08818739594
224	0.08810636289
225	0.08801875188
226	0.08796635557
227	0.08787676957
228	0.0878032749
229	0.0877185278
230	0.08765576856
231	0.08758200385
232	0.08749877035
233	0.08742876571
234	0.08733939464
235	0.0872711838
236	0.08717385942
237	0.08709987188
238	0.08688661303
239	0.08681513994
240	0.08671999581
241	0.08665297852
242	0.08658311419
243	0.08649871243
244	0.08642899052
245	0.08632764455
246	0.08626109067
247	0.0862048072
248	0.08614726049
249	0.08605118753
250	0.08597211582
251	0.08591354922
252	0.08584581378
253	0.08579852848
254	0.08571874353
255	0.08565269337
256	0.0855806174
257	0.08551642821
258	0.08546379755
259	0.0853815343
260	0.08531576156
261	0.0852410595
262	0.08517559906
263	0.08509968479
264	0.0850359655
265	0.08496289691
266	0.08490452892
267	0.08482850638
268	0.08477069978
269	0.0846987358
270	0.0846507301
271	0.08457545165
